"filename", "language", "TOML", "Batch", "JSON", "Lua", "Markdown", "YAML", "Rust", "Shell Script", "comment", "blank", "total"
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\MouseBehavior.lua", "Lua", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\Platform.lua", "Lua", 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\PlaybackState.lua", "Lua", 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\ScaleType.lua", "Lua", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\ScrollBarInset.lua", "Lua", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\ScrollingDirection.lua", "Lua", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\SizeConstraint.lua", "Lua", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\SortOrder.lua", "Lua", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\TextTruncate.lua", "Lua", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\TextXAlignment.lua", "Lua", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\TextYAlignment.lua", "Lua", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\ThumbnailSize.lua", "Lua", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\ThumbnailType.lua", "Lua", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\UserInputType.lua", "Lua", 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\colin\OneDrive\Documents\Projects\JJKBattlegrounds\Packages\_Index\evaera_promise@4.0.0\promise\modules\testez\modules\lemur\lib\Enum\VerticalAlignment.lua", "Lua", 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
